procedureID,TotalDischarges,AverageTotalPayments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,37861,6902.38
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,37927,6809.8
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,68163,13614.62
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,110983,8037.27
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,62346,5762.88
069 - TRANSIENT ISCHEMIA,85184,5073.72
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,29646,6374.52
101 - SEIZURES W/O MCC,55428,5705.5
149 - DYSEQUILIBRIUM,31020,4602.07
176 - PULMONARY EMBOLISM W/O MCC,39839,7344.6
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,72345,13870.97
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,62628,9952.25
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,99850,8982.75
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,152277,8125.47
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,151211,6639.31
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,117824,4946.07
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,131396,9997.52
194 - SIMPLE PNEUMONIA & PLEURISY W CC,199662,6969.28
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,83703,4850.17
202 - BRONCHITIS & ASTHMA W CC/MCC,40425,6026.26
203 - BRONCHITIS & ASTHMA W/O CC/MCC,26154,4395.52
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,33407,38473.89
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,73146,16314.85
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,38252,22297.78
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,35115,18158.53
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,33639,14061.35
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,30459,23276.48
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,109584,14300.15
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,35760,12557.68
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,31947,13751.67
252 - OTHER VASCULAR PROCEDURES W MCC,38711,23122.61
253 - OTHER VASCULAR PROCEDURES W CC,41210,17592.34
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,31478,11644.65
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",69503,12581.77
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",48038,8027.08
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",30673,5540.41
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",26882,15286.74
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",117533,7718.49
291 - HEART FAILURE & SHOCK W MCC,188376,10401.82
292 - HEART FAILURE & SHOCK W CC,223501,7101.15
293 - HEART FAILURE & SHOCK W/O CC/MCC,93266,4741.81
300 - PERIPHERAL VASCULAR DISORDERS W CC,46117,6859.01
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,26217,4618.7
303 - ATHEROSCLEROSIS W/O MCC,38027,4134.83
305 - HYPERTENSION W/O MCC,33548,4421.07
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,66958,8736.97
309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,106975,5845.07
310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,117767,3964.39
312 - SYNCOPE & COLLAPSE,146463,5147
313 - CHEST PAIN,135416,4009.06
314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,56539,13709.35
315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,26690,7047.76
329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,44080,38022.67
330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,56944,18246.3
372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,36515,8826.03
377 - G.I. HEMORRHAGE W MCC,54537,12596.24
378 - G.I. HEMORRHAGE W CC,141873,7082.33
379 - G.I. HEMORRHAGE W/O CC/MCC,41731,5010.78
389 - G.I. OBSTRUCTION W CC,54118,6496.65
390 - G.I. OBSTRUCTION W/O CC/MCC,39783,4492.44
"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",49987,8524.03
"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",246605,5099.19
394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,48015,7175.45
418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,26967,11617.2
419 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,25082,8102.53
439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,28236,7271.95
460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,68725,27404.55
469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,26768,22461.5
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,428495,14328.81
473 - CERVICAL SPINAL FUSION W/O CC/MCC,28211,14512.51
480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,25941,20957.66
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,81567,12635.12
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,29217,10450.47
491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,38681,7116.03
536 - FRACTURES OF HIP & PELVIS W/O MCC,31937,4803.66
552 - MEDICAL BACK PROBLEMS W/O MCC,69374,5812.73
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",29297,5077.41
602 - CELLULITIS W MCC,26687,10350.98
603 - CELLULITIS W/O MCC,143477,5887.76
638 - DIABETES W CC,55046,6001.37
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",63445,8288.12
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",155734,4881.96
682 - RENAL FAILURE W MCC,105365,11643.09
683 - RENAL FAILURE W CC,154063,7104.11
684 - RENAL FAILURE W/O CC/MCC,28554,4614.57
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,72830,8214.6
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,208113,5413.75
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,29137,11945.45
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,31970,7715.39
811 - RED BLOOD CELL DISORDERS W MCC,32682,9256
812 - RED BLOOD CELL DISORDERS W/O MCC,97843,5726.2
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,45425,40685.79
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,29215,44763.51
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,320859,13644.14
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,116214,7967.81
885 - PSYCHOSES,96597,7121.43
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,39977,4954.16
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,25261,10754.06
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,37372,4531.88
948 - SIGNS & SYMPTOMS W/O MCC,57490,4909.52
