procedureID,State,TotalDischarges,AverageCoveredCharges,AverageTotalPayments,AverageMedicarePayments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AK,33,36447.76,8937.88,7246.36
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AL,927,29913.22,5843.34,4718.23
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AR,681,24728.53,5951.19,4743.18
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AZ,693,34879.98,7126.12,5679.43
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CA,2184,56532.95,8411.67,7043.11
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CO,324,35774.23,6903.19,5316.02
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,CT,432,21509.75,8078.11,6770.27
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DC,58,41315.64,9005.52,7652.93
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DE,150,21683.55,7331.77,5883.82
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,FL,3146,39275.26,6214.69,4844.99
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA,1129,26060.31,6434.77,5116.21
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,HI,44,27226.30,9966.16,6825.61
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA,556,22562.52,6140.83,5011.86
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ID,115,18242.91,6471.74,5318.17
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL,1439,33871.68,7354.13,5486.89
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN,1140,26862.44,6610.22,5120.46
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KS,624,21702.71,5880.99,4746.73
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY,784,22533.35,6351.79,5115.39
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA,808,30528.83,6510.41,4822.05
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA,813,23664.55,8530.26,6997.68
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD,796,9285.06,8762.09,7641.82
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ME,224,14520.30,7079.30,5637.72
